GO_ID	term	ontology	p_value	fold_enrichment	gene_count	genes	FDR
GO:0035098	ESC/E(Z) complex	cellular_component	0.08537181743813678	11.246333433103862	1	AT3G05430	0.23933717605489213
GO:0043047	single-stranded telomeric DNA binding	molecular_function	0.08537181743813678	11.246333433103862	1	AT2G05210	0.23933717605489213
GO:0004656	procollagen-proline 4-dioxygenase activity	molecular_function	0.08537181743813678	11.246333433103862	1	AT4G25600	0.23933717605489213
GO:1900459	positive regulation of brassinosteroid mediated signaling pathway	biological_process	0.08537181743813678	11.246333433103862	1	AT1G63100	0.23933717605489213
GO:0003955	NAD(P)H dehydrogenase (quinone) activity	molecular_function	0.08537181743813678	11.246333433103862	1	AT4G27270	0.23933717605489213
GO:0005634	nucleus	cellular_component	0.08626797165170258	1.1375069855875932	87	AT1G01700,AT1G04945,AT1G06630,AT1G09530,AT1G14380,AT1G15860,AT1G16820,AT1G18750,AT1G27370,AT1G27630,AT1G48360,AT1G49160,AT1G49630,AT1G49980,AT1G50590,AT1G53025,AT1G53160,AT1G53490,AT1G63100,AT1G67520,AT1G67900,AT1G69310,AT1G73350,AT1G75150,AT2G03060,AT2G05210,AT2G17780,AT2G20400,AT2G24650,AT2G27150,AT2G39280,AT2G43465,AT2G43760,AT2G45540,AT2G46040,AT2G47410,AT3G02280,AT3G02290,AT3G03970,AT3G05430,AT3G05870,AT3G06630,AT3G06880,AT3G11240,AT3G12980,AT3G19500,AT3G21810,AT3G23255,AT3G29160,AT3G49430,AT3G49500,AT3G50670,AT3G53500,AT3G54500,AT3G55850,AT3G55890,AT4G03000,AT4G09680,AT4G11670,AT4G12020,AT4G12460,AT4G14410,AT4G18020,AT4G20380,AT4G21750,AT4G25434,AT4G25500,AT4G26480,AT4G27860,AT4G31200,AT4G33240,AT4G37630,AT4G39380,AT5G02080,AT5G14610,AT5G20450,AT5G26680,AT5G27680,AT5G37340,AT5G37370,AT5G46280,AT5G50240,AT5G56140,AT5G56620,AT5G57790,AT5G58140,AT5G67110	0.24045957615560776
GO:0006468	protein phosphorylation	biological_process	0.08725282107618396	4.061175961954172	2	AT1G49160,AT3G29160	0.24181496126828125
GO:0010239	chloroplast mRNA processing	biological_process	0.09162988945215136	10.443023902167871	1	AT5G27270	0.24552760433311277
GO:0035529	NADH pyrophosphatase activity	molecular_function	0.09162988945215136	10.443023902167871	1	AT4G25434	0.24552760433311277
GO:1902476	chloride transmembrane transport	biological_process	0.09162988945215136	10.443023902167871	1	AT2G45870	0.24552760433311277
GO:0009688	abscisic acid biosynthetic process	biological_process	0.09162988945215136	10.443023902167871	1	AT2G27150	0.24552760433311277
GO:0016628	oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor	molecular_function	0.09162988945215136	10.443023902167871	1	AT5G16980	0.24552760433311277
GO:0080086	stamen filament development	biological_process	0.09162988945215136	10.443023902167871	1	AT2G30370	0.24552760433311277
GO:0010047	fruit dehiscence	biological_process	0.0978453079401917	9.746822308690012	1	AT5G67110	0.2537699163154704
GO:0047631	ADP-ribose diphosphatase activity	molecular_function	0.0978453079401917	9.746822308690012	1	AT4G25434	0.2537699163154704
GO:0017108	5'-flap endonuclease activity	molecular_function	0.0978453079401917	9.746822308690012	1	AT5G26680	0.2537699163154704
GO:0042555	MCM complex	cellular_component	0.0978453079401917	9.746822308690012	1	AT5G46280	0.2537699163154704
GO:0000347	THO complex	cellular_component	0.0978453079401917	9.746822308690012	1	AT5G46280	0.2537699163154704
GO:0034061	DNA polymerase activity	molecular_function	0.0978453079401917	9.746822308690012	1	AT1G49980	0.2537699163154704
GO:0009649	entrainment of circadian clock	biological_process	0.10401836249061557	9.137645914396888	1	AT3G54500	0.2583069188083184
GO:0042939	tripeptide transport	biological_process	0.10401836249061557	9.137645914396888	1	AT1G72130	0.2583069188083184
GO:0016651	oxidoreductase activity, acting on NAD(P)H	molecular_function	0.10401836249061557	9.137645914396888	1	AT3G02280	0.2583069188083184
GO:0051026	chiasma assembly	biological_process	0.10401836249061557	9.137645914396888	1	AT1G53490	0.2583069188083184
GO:0009750	response to fructose	biological_process	0.10401836249061557	9.137645914396888	1	AT4G35300	0.2583069188083184
GO:0036297	interstrand cross-link repair	biological_process	0.10401836249061557	9.137645914396888	1	AT1G48360	0.2583069188083184
GO:0010168	ER body	cellular_component	0.10401836249061557	9.137645914396888	1	AT4G27860	0.2583069188083184
