sample_name	study_id	condition	is_flight	UMAP1	UMAP2	cluster
GLDS-37_rna_seq_Atha_Col-0_sl-pool_GC_Rep3_R1-GC-B1_GLbulkRNAseq	OSD-37	ground_control	0	-1.8277876	-1.0808793	1
GLDS-37_rna_seq_Atha_Col-0_sl-pool_GC_Rep4_R1-GC-B4_GLbulkRNAseq	OSD-37	ground_control	0	-2.3368185	-0.52410495	1
GLDS-37_rna_seq_Atha_Col-0_sl-pool_FLT_Rep5_R2-FL-A1_GLbulkRNAseq	OSD-37	flight	1	-1.728421	-1.0563015	1
GLDS-37_rna_seq_Atha_Col-0_sl-pool_FLT_Rep6_R2-FL-A4_GLbulkRNAseq	OSD-37	flight	1	-2.4737604	-0.8139402	1
GLDS-37_rna_seq_Atha_Col-0_sl-pool_FLT_Rep7_R2-FL-B1_GLbulkRNAseq	OSD-37	flight	1	-2.1486845	-0.5683431	1
GLDS-37_rna_seq_Atha_Col-0_sl-pool_FLT_Rep8_R2-FL-B4_GLbulkRNAseq	OSD-37	flight	1	-1.8291354	-0.1688543	1
GLDS-37_rna_seq_Atha_Col-0_sl-pool_GC_Rep5_R2-GC-A1_GLbulkRNAseq	OSD-37	ground_control	0	-2.2722867	-1.3408248	1
GLDS-37_rna_seq_Atha_Col-0_sl-pool_GC_Rep6_R2-GC-A4_GLbulkRNAseq	OSD-37	ground_control	0	-2.029176	-0.24960378	1
GLDS-37_rna_seq_Atha_Col-0_sl-pool_GC_Rep7_R2-GC-B1_GLbulkRNAseq	OSD-37	ground_control	0	-1.9586523	-0.6524147	1
GLDS-37_rna_seq_Atha_Col-0_sl-pool_GC_Rep8_R2-GC-B4_GLbulkRNAseq	OSD-37	ground_control	0	-1.8006736	-0.6301412	1
