sample_name	study_id	is_flight	UMAP1	UMAP2	cluster
GLDS-612_rna_seq_Flight_phyD_Light_bio_rep3_GLbulkRNAseq	OSD-678	1	5.6903152	-9.659579	1
GLDS-612_rna_seq_Flight_Ws_Dark_bio_rep1_GLbulkRNAseq	OSD-678	1	5.730626	-10.172296	1
GLDS-612_rna_seq_Flight_Ws_Dark_bio_rep2_GLbulkRNAseq	OSD-678	1	5.118599	-10.281462	1
GLDS-612_rna_seq_Flight_Ws_Dark_bio_rep3_GLbulkRNAseq	OSD-678	1	5.1024327	-10.05708	1
GLDS-612_rna_seq_Flight_Ws_Light_bio_rep1_GLbulkRNAseq	OSD-678	1	5.3227587	-9.562565	1
GLDS-612_rna_seq_Flight_Ws_Light_bio_rep2_GLbulkRNAseq	OSD-678	1	5.3459845	-10.277845	1
GLDS-612_rna_seq_Flight_Ws_Light_bio_rep3_GLbulkRNAseq	OSD-678	1	5.396814	-9.922513	1
GLDS-612_rna_seq_Ground_control_Col-0_Dark_bio_rep1_GLbulkRNAseq	OSD-678	0	5.3025756	-9.59198	1
GLDS-612_rna_seq_Ground_control_Col-0_Dark_bio_rep2_GLbulkRNAseq	OSD-678	0	5.433601	-10.087045	1
GLDS-612_rna_seq_Ground_control_Col-0_Dark_bio_rep3_GLbulkRNAseq	OSD-678	0	5.694858	-9.705163	1
GLDS-612_rna_seq_Ground_control_Col-0_Light_bio_rep1_GLbulkRNAseq	OSD-678	0	5.01838	-9.918622	1
GLDS-612_rna_seq_Ground_control_Col-0_Light_bio_rep2_GLbulkRNAseq	OSD-678	0	5.8461137	-10.464832	1
GLDS-612_rna_seq_Ground_control_Col-0_Light_bio_rep3_GLbulkRNAseq	OSD-678	0	5.8452272	-9.712945	1
GLDS-612_rna_seq_Ground_control_phyD_Dark_bio_rep1_GLbulkRNAseq	OSD-678	0	5.7405066	-10.292242	1
GLDS-612_rna_seq_Ground_control_phyD_Dark_bio_rep2_GLbulkRNAseq	OSD-678	0	5.40647	-9.586279	1
GLDS-612_rna_seq_Ground_control_phyD_Dark_bio_rep3_GLbulkRNAseq	OSD-678	0	5.4900484	-10.361832	1
GLDS-612_rna_seq_Ground_control_phyD_Light_bio_rep1_GLbulkRNAseq	OSD-678	0	6.030202	-9.955004	1
GLDS-612_rna_seq_Ground_control_phyD_Light_bio_rep2_GLbulkRNAseq	OSD-678	0	5.7629614	-9.705843	1
GLDS-612_rna_seq_Ground_control_phyD_Light_bio_rep3_GLbulkRNAseq	OSD-678	0	5.2784986	-9.586548	1
